radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
119.187166,0.988,-26.270987,0.935,2,15.77,0.052,16.548,0.016,16.146,0.037,15.661,0.058,15.687,-0
119.187262,0.172,-26.259233,0.286,2,13.338,0.006,13.866,0.008,13.584,0.014,13.223,0.023,13.118,0.049
119.187669,1.213,-25.87057,0.282,2,14.668,0.017,15.725,0.03,15.171,-0,14.333,-0,13.761,-0
119.187709,0.266,-25.799715,0.362,2,14.061,0.022,14.262,0.008,14.092,0.006,14.066,0,14.152,0.105
119.188763,0.735,-25.691895,0.297,2,15.272,0.028,16.535,0.019,15.873,0.048,14.859,0.038,14.458,0.008
119.188929,0.439,-26.290663,0.264,2,14.843,0.032,15.395,0.021,15.059,0.035,14.645,0.025,14.486,0.082
119.189051,1.156,-26.331262,0.74,2,15.212,0.048,15.903,0.006,15.506,0,15.014,0.067,14.766,-0
119.189508,0.949,-26.047355,0.589,2,16.42,0.114,17.135,0.055,16.768,0.102,16.157,0.017,NA,NA
119.189554,0.203,-25.541942,0.385,2,13.781,0.025,14.184,0.014,13.913,0.023,13.714,0.03,13.631,0.062
119.189823,0.319,-26.343262,0.102,2,10.736,0.017,12.354,0.006,11.522,0.022,10.092,0.014,NA,NA
119.190722,0.325,-25.82211,0.274,2,13.65,0.021,14.475,0.011,14.044,0.006,13.387,0.016,13.131,0.054
119.190724,0.624,-25.744657,0.854,2,15.912,0.01,16.514,0.099,16.174,0.022,15.762,0.036,NA,NA
119.190782,0.116,-26.018047,0.087,2,10.217,0.011,10.278,0.009,10.199,0.036,10.322,0.023,10.519,0.067
119.191261,0.259,-25.780778,0.225,2,13.012,0.006,13.417,0,13.161,0.016,12.944,0.034,12.913,0.044
119.191297,0.943,-25.997747,0.572,2,16.093,-0,16.962,-0,16.531,0.038,15.836,0.076,NA,NA
119.191346,0.604,-26.141702,0.416,2,13.47,0.006,13.859,0.011,13.616,0.021,13.399,0.026,13.404,0.006
119.191539,0.469,-25.585647,1.402,2,15.184,0.06,15.461,0.025,15.288,0.079,15.43,0.063,15.318,-0
119.191998,0.208,-25.703643,0.282,2,13.985,0.015,14.35,0.023,14.101,0.025,13.927,0.016,13.909,0.016
119.192054,0.089,-25.562988,0.868,2,13.068,-0,14.196,-0,13.569,0.006,12.657,0.014,12.33,0.067
119.192724,0.676,-26.356343,0.209,2,15.118,0.043,15.881,0.041,15.424,0.015,14.91,0.047,14.598,-0
119.193331,0.44,-26.250773,0.582,2,15.663,-0,16.791,-0.075,16.216,0.046,15.239,0.054,14.774,-0
119.193403,0.903,-26.173246,0.354,2,14.444,0.038,15.133,0.006,14.74,0.025,14.288,0.036,14.17,0.078
119.193634,0.237,-26.155309,0.411,2,12.959,0.006,13.379,0.006,13.116,0.02,12.859,0.016,12.841,0.027
119.193792,0.809,-25.623365,0.997,2,13.368,-0,13.722,-0,13.544,0.037,13.503,0.02,13.771,0.015
119.193932,0.402,-26.116038,0.294,2,15.045,0.025,15.618,0.019,15.329,0.047,14.897,0.031,14.804,0.021
119.193986,0.163,-25.720866,0.149,2,13.497,0.026,13.87,0.006,13.608,0.011,13.445,0.032,13.445,0.065
119.194016,0.494,-26.309713,0.121,2,13.382,0.008,14.131,0.012,13.71,0.035,13.164,0.041,13.042,0.089
119.194017,0.566,-25.855604,0.506,2,15.062,0.01,15.443,0.017,15.16,0.025,14.995,0.049,14.965,0.025
119.19408,0.071,-25.878585,0.106,2,12.758,0.006,13.065,0.006,12.823,0.018,12.731,0.03,12.79,0.016
119.19456,0.292,-26.093939,0.099,2,12.575,0.01,12.803,0.006,12.635,0.021,12.597,0.015,12.698,0.07
119.194905,0.65,-25.888896,0.206,2,13.98,0.018,14.27,0.01,14.041,0.011,13.964,0.017,NA,NA
119.195502,0.934,-25.840823,1.211,2,NA,NA,NA,NA,17.043,0.102,16.47,0.07,NA,NA
119.195551,0.723,-25.914838,0.401,2,15.052,0,15.863,0,15.456,0.011,14.807,0.01,14.645,0.09
119.195591,0.6,-25.613901,0.357,2,14.236,0,14.581,0.025,14.361,0.017,14.235,0.066,14.2,0.098
119.195761,0.349,-26.008846,0.372,2,13.45,0.006,15.255,0.019,14.328,0.027,12.727,0.006,11.98,0.048
119.196038,1.032,-25.512023,0.703,2,15.89,-0,16.341,-0.054,16.014,0.061,15.645,0.011,15.559,0.008
119.196211,0.165,-25.955894,0.075,2,NA,NA,10.457,0.004,10.052,-0,NA,NA,NA,NA
119.1963,0.89,-26.085955,1.135,2,16.27,0.085,17.376,-0.14,NA,NA,NA,NA,NA,NA
119.196345,0.333,-26.389575,0.079,2,13.606,0.01,14.958,0.038,14.276,0.012,13.121,0.014,12.565,0.052
119.196751,0.809,-26.215273,0.828,2,14.918,0.041,15.735,0.076,15.411,0.006,14.743,0.055,14.51,0.011
119.196847,0.302,-26.274716,0.638,2,13.953,0.035,14.943,0.011,14.426,0.01,13.59,0.014,13.319,0.027
119.19699,0.743,-25.827282,0.651,2,15.162,0.034,15.795,0.05,15.462,0.018,15.046,0.031,14.855,-0
119.197134,0.568,-25.557379,0.323,2,13.232,-0,14.568,-0.015,13.878,0.016,12.771,0.027,12.358,0.042
119.197606,0.118,-25.652531,0.075,2,13.457,0.006,14.814,0.008,14.086,0.01,12.965,0.012,12.467,0.049
119.198048,0.123,-25.571882,0.368,2,12.237,0.01,14.118,0.016,13.104,0.023,11.436,0,NA,NA
119.19843,0.324,-25.496988,0.592,2,14.826,0,15.023,0.011,14.828,0.012,14.842,0.062,14.959,0.101
119.198909,0.333,-26.109187,0.167,2,14.165,0,14.933,0.04,14.503,0.021,13.918,0.02,13.714,0.133
119.198934,0.962,-25.546456,1.048,2,15.605,0.019,16.532,0.038,15.996,0.03,15.266,0.039,NA,NA
119.198978,0.797,-25.711344,0.297,2,13.031,-0,13.731,-0,13.393,0.014,12.827,0.022,12.689,0.043
119.199176,0.273,-26.231948,0.405,2,14.567,0.011,15.255,0.027,14.907,0,14.375,0.012,14.241,0.135
