radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
153.488816,0.685,-58.512391,0.708,4,14.81,0.04,15.494,0.129,15.122,-0,14.617,-0,14.533,0.034
153.488824,1.147,-58.504852,0.819,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.489033,0.446,-58.705086,1.136,3,15.236,-0,16.138,-0,15.633,-0.034,15.118,0.041,14.853,0.086
153.490412,1.004,-58.562555,1.325,2,15.512,-0,16.372,-0.079,NA,NA,NA,NA,14.931,-0
153.490529,0.466,-58.49914,1.035,2,NA,NA,NA,NA,17.826,-0.221,16.778,-0,16.841,0.235
153.490715,1.192,-58.504537,1.068,6,12.545,0.017,13.007,0.101,12.724,-0,12.474,-0,12.451,0.057
153.490756,0.213,-58.785905,0.957,3,11.408,0.031,11.699,0.006,11.458,-0,11.393,-0,11.446,0.05
153.490895,1.113,-58.772487,0.978,3,13.523,0.022,14.047,0.008,13.704,0.006,13.41,0,13.345,0.039
153.491315,0.895,-58.64312,1.424,2,NA,NA,NA,NA,15.915,-0.04,15.436,-0,15.282,-0
153.491537,0.749,-58.926678,0.672,3,14.055,0.022,14.69,0.008,14.287,0,13.908,0.031,13.796,0.022
153.491911,0.442,-58.878153,0.778,3,13.299,0.017,15.112,0.024,14.191,0.044,12.626,0.006,11.93,0.043
153.49259,0.503,-58.603541,0.869,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.49356,0.854,-58.602857,1.186,2,NA,NA,NA,NA,NA,NA,NA,NA,14.105,-0
153.494558,0.252,-58.755279,0.961,3,13.111,0.027,13.613,0.01,13.29,0.017,13.002,0.006,12.927,0.054
153.494921,0.347,-58.905291,0.83,3,14.535,0.033,15.268,0,14.855,0.017,14.363,0.024,14.226,0.034
153.494973,0.709,-58.802198,1.429,2,15.646,-0,16.453,-0.126,16.027,0.067,15.46,0.107,15.107,-0
153.495179,0.966,-58.603197,0.864,4,13.983,-0,14.471,-0,14.143,-0.009,13.903,-0,13.949,-0
153.495211,0.685,-58.523813,0.569,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.495339,0.672,-58.886406,0.96,3,14.324,0.016,15.574,0.055,14.902,0.037,13.923,0,13.52,0.029
153.495637,0.828,-58.897366,0.585,2,15.97,-0,16.66,-0,16.376,0.008,15.691,0.04,NA,NA
153.495992,0.265,-58.625602,1.217,3,12,-0,12.184,-0,11.994,0.008,12.105,0.015,12.314,0.074
153.49655,1.123,-58.940674,1.028,3,15.317,-0,16.097,-0,15.614,0.085,14.973,0.011,14.848,0.122
153.496604,0.281,-58.482319,0.827,4,15.316,0.006,16.178,0.239,15.658,-0,15.119,-0,14.949,0.142
153.497407,0.978,-58.519213,0.621,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.497439,0.328,-58.971848,0.856,3,14.945,0.041,15.862,0.1,15.34,0.044,14.661,0.016,14.405,0.031
153.499594,0.446,-58.565126,1.253,5,14.422,-0,15.143,-0,14.708,-0.014,14.228,-0,14.13,0.081
153.500008,0.8,-58.518753,0.939,6,10.825,0.007,11.919,0.075,11.321,-0,10.491,-0,10.245,0.07
153.500286,1.066,-58.523211,1.237,2,NA,NA,NA,NA,NA,NA,NA,NA,13.577,0.029
153.500541,0.467,-58.693839,1.37,4,14.579,-0,15.798,0.023,15.177,0.006,14.17,0.006,13.761,0.056
153.501762,1.2,-58.913638,1.043,3,14.179,-0,14.977,-0,14.446,0.202,13.876,0.079,13.628,0.073
153.503845,0.75,-58.546967,1.258,3,16.032,0.037,17.243,0.177,16.647,-0,NA,NA,15.653,0.251
153.504613,0.209,-58.821455,1.055,2,13.357,0.036,13.788,0.008,13.501,0.027,13.29,0.016,13.231,0.016
153.5056,0.751,-58.737055,1.792,2,15.501,-0,16.123,-0.059,NA,NA,NA,NA,14.975,-0
153.505734,0.68,-58.919637,0.996,3,15.301,-0,16.506,-0.134,15.748,-0,14.777,-0,14.418,-0
153.509999,0.629,-58.829843,1.169,3,NA,NA,NA,NA,15.837,0.008,15.309,-0,15.071,0.078
153.510478,0.58,-58.616776,0.727,3,16.068,-0,16.982,-0,16.335,-0.06,15.736,-0,15.596,-0
153.512073,0.178,-58.751973,0.572,2,14.306,-0,15.42,-0.051,14.868,-0,13.923,-0,13.622,0.015
153.512249,1.192,-58.500296,1.292,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.512373,1.296,-58.500647,1.261,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.512376,1.053,-58.500167,1.348,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.512392,1.064,-58.500258,1.401,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.514305,0.362,-58.715992,1.327,2,NA,NA,NA,NA,16.895,-0.136,15.554,-0,14.129,0
153.514386,1.246,-58.500203,1.309,6,13.309,0.028,13.935,0.097,13.59,-0,13.126,-0,13.033,0.041
153.51504,0.357,-58.647781,0.94,2,11.922,-0,13.085,-0,12.462,0,11.597,0,11.299,0
153.515111,0.438,-58.647365,1.137,2,NA,NA,NA,NA,12.475,-0.003,11.589,-0,11.342,0.071
153.515511,0.75,-58.488239,0.957,2,15.094,0,15.862,0.125,NA,NA,NA,NA,14.803,-0
153.515516,0.686,-58.70858,1.117,4,13.84,0.044,14.307,0.031,14.042,-0,13.731,-0,13.678,0.068
153.515954,0.42,-58.875722,1.324,2,14.502,0.042,15.205,0.064,14.787,0.008,14.383,0.052,NA,NA
153.517153,0.383,-59.003014,0.48,3,13.897,0.041,14.596,0.016,14.223,0.03,13.653,0.006,13.424,0.064
153.517595,1.282,-58.515775,1.634,3,NA,NA,NA,NA,NA,NA,NA,NA,14.641,0.011
153.517855,1.088,-58.52462,1.15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.517863,0.776,-58.516259,0.878,3,15.006,0.01,15.754,0.135,15.296,-0,14.761,-0,14.624,-0
153.517926,1.144,-58.524702,1.047,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.517978,1.258,-58.524695,1.019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.518493,0.612,-58.687218,0.875,3,14.676,-0,15.412,-0,15.104,0.094,14.505,0,14.363,0.088
153.518833,0.99,-58.562115,0.923,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.518869,0.455,-58.756072,1.08,3,14.642,0.018,15.329,0.055,14.846,0.046,14.462,0.032,14.314,0.112
153.518947,1.073,-58.56208,1.196,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.519212,1.663,-58.524608,1.08,6,12.393,0.031,12.545,0.096,12.376,-0,12.505,-0,12.674,0.076
153.519952,1.396,-58.592952,1.152,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.520498,1.231,-58.592716,1.263,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.520968,0.833,-58.561755,0.986,6,12.481,0.011,13.038,0.087,12.709,-0,12.343,-0,12.296,0.063
153.521568,1.556,-58.59269,1.228,6,12.979,-0,13.631,-0,13.245,-0.004,12.868,-0,12.765,0.052
153.521742,0.529,-58.607368,1.13,5,14.609,-0,15.291,-0,14.892,-0.017,14.473,-0,14.37,0.067
153.524545,0.632,-58.536279,0.496,2,NA,NA,NA,NA,NA,NA,NA,NA,14.868,0.162
153.52512,0.828,-58.867182,0.393,2,15.92,-0,NA,NA,16.42,-0,15.804,0.019,NA,NA
153.525158,0.497,-58.708875,0.018,2,NA,NA,NA,NA,NA,NA,NA,NA,16.048,0.363
153.525263,0.181,-58.787967,0.94,3,12.866,0.027,14.178,0.006,13.496,0.027,12.42,0.006,12.01,0.058
153.525778,0.855,-58.822677,0.941,3,15.715,-0,16.383,-0,16.074,-0,15.51,-0,15.214,0.023
153.526461,1.112,-58.649198,0.991,2,14.736,-0,15.347,-0,14.983,0.01,14.658,0.022,NA,NA
153.526642,0.739,-58.456398,0.692,3,NA,NA,NA,NA,16.324,-0.062,NA,NA,15.207,0.143
153.52782,0.221,-58.924096,0.695,3,13.471,0.034,13.906,0.008,13.619,0.01,13.401,0,13.339,0.038
153.527918,0.94,-58.92863,1.506,2,NA,NA,NA,NA,16.254,-0.083,15.729,-0,15.741,-0
153.528072,0.674,-58.735031,1.222,2,15.448,-0,16.224,0.042,15.877,-0,15.245,-0,14.882,-0
153.528552,0.484,-58.518331,0.799,3,14.972,-0,15.481,-0.044,15.222,-0,14.833,-0,14.763,0.01
153.528554,0.128,-58.9617,0.529,3,11.177,0.027,11.66,0.008,11.457,0.047,11.058,0.021,11.025,0.042
153.528872,1.16,-58.644801,1.017,3,NA,NA,NA,NA,16.48,-0.066,15.802,0.017,15.47,0.19
153.529144,2.084,-58.485813,0.038,2,NA,NA,NA,NA,NA,NA,NA,NA,14.253,-0
153.529824,0.31,-58.485846,0.954,3,14.354,0.006,14.872,0.116,14.556,-0,14.32,-0,14.163,0.01
153.531047,0.725,-58.510002,0.768,4,14.757,0.045,15.611,0.154,15.177,0,14.486,0,14.2,0.032
153.531848,0.197,-58.700562,0.92,3,14.188,-0,15.557,-0,14.964,0.029,13.655,0,13.189,0.079
153.534153,0.325,-58.777403,1.03,3,13.57,0.036,14.105,0.015,13.781,0.036,13.436,0.006,13.324,0.043
153.534593,0.194,-59.003017,0.543,3,12.939,0.035,14.124,0.008,13.512,0.034,12.511,0.025,12.24,0.027
153.534803,1.464,-58.799238,0.972,2,14.137,-0,15.371,-0.049,14.818,-0,13.465,-0,12.507,0.006
153.535501,0.496,-58.690845,1.281,3,14.47,-0,14.994,-0,14.689,0.006,14.388,0.011,14.306,0.055
153.537674,0.848,-58.980099,0.793,3,15.422,0.032,16.199,0.023,15.783,0.06,15.158,0.037,14.978,0.026
153.537731,0.31,-58.629436,1.237,2,13.646,-0,14.243,-0,13.914,0.008,13.532,0.012,13.401,0.044
153.537976,1.403,-58.459051,0.935,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.538037,1.343,-58.459057,0.956,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.53863,0.882,-58.851221,1.201,2,15.668,-0,16.522,-0,16.145,0.008,15.381,0.023,14.923,-0
153.539321,0.687,-58.527758,0.98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.539821,1.216,-58.458999,0.748,4,13.482,0.015,14.815,0.048,14.101,-0,12.998,-0,12.509,-0
153.540525,0.138,-58.458274,1.639,2,NA,NA,NA,NA,NA,NA,NA,NA,12.565,0.077
153.540811,1.259,-58.5865,1.268,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.541137,1.195,-58.586833,1.269,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
