radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
143.370178,0.291,-50.099463,0.35,6,12.406,0.01,13.053,0.042,0.647
142.578768,0.216,-50.076241,0.209,5,12.414,0.026,13.122,0.039,0.708
142.655608,0.123,-50.084343,0.173,5,12.414,0.047,14.154,0.04,1.74
142.65217,0.211,-50.165539,0.218,5,12.43,0.051,14.862,0.046,2.432
142.517066,0.134,-49.816651,0.203,5,12.451,0.04,13.502,0.023,1.051
143.215718,0.494,-50.601204,0.787,4,12.491,0.05,13.333,0.034,0.842
142.437987,0.221,-50.088758,0.1,5,12.511,0.031,13.973,0.039,1.462
142.671404,0.158,-50.008716,0.161,5,12.512,0.035,13.05,0.036,0.538
142.694146,0.159,-50.575501,0.707,4,12.513,0.03,13.166,0.016,0.653
142.964173,0.142,-50.705945,0.523,4,12.513,0.042,13.069,0.024,0.556
142.766227,0.227,-50.214712,0.208,4,12.523,0.065,14.318,0.065,1.795
143.058271,0.272,-49.820596,0.216,7,12.526,0.04,13.627,0.042,1.101
142.934982,0.249,-50.555363,0.911,5,12.55,0.039,13.201,0.02,0.651
143.151097,0.401,-50.386226,0.828,5,12.553,0.062,13.46,0.057,0.907
143.1757,0.655,-50.291206,0.672,7,12.553,0.037,13.339,0.046,0.786
143.384004,0.402,-50.394206,0.444,6,12.563,0.025,14.437,0.051,1.874
142.950717,0.221,-49.798542,0.348,5,12.566,0.036,13.097,0.036,0.531
142.826275,0.233,-49.994302,0.178,5,12.57,0.042,13.967,0.031,1.397
142.614822,0.4,-50.072555,0.207,5,12.583,0.034,13.27,0.039,0.687
142.723663,0.198,-50.084781,0.223,5,12.585,0.05,13.317,0.034,0.732
143.123656,0.34,-50.07108,0.184,7,12.6,0.019,13.203,0.042,0.603
142.469475,0.468,-50.379182,0.515,5,12.612,0.024,13.358,0.033,0.746
142.60194,0.156,-49.84074,0.153,5,12.614,0.029,13.41,0.022,0.796
143.150964,0.407,-50.38638,0.619,5,12.615,0.027,13.525,0.067,0.91
143.478344,0.378,-50.285647,0.438,6,12.615,0.019,14.34,0.042,1.725
142.898626,0.181,-50.16903,0.101,5,12.623,0.05,13.326,0.035,0.703
142.907466,0.234,-50.312712,0.608,5,12.624,0.036,13.199,0.035,0.575
143.015578,0.479,-50.423356,0.617,7,12.624,0.057,13.326,0.05,0.702
142.674285,0.383,-49.91757,0.225,5,12.64,0.035,13.19,0.026,0.55
143.112244,0.374,-50.153274,0.157,7,12.665,0.025,13.221,0.046,0.556
142.888499,0.155,-49.889239,0.256,5,12.674,0.036,13.435,0.026,0.761
143.367926,0.251,-50.091699,0.178,6,12.682,0.014,13.322,0.043,0.64
142.574647,0.346,-50.457006,0.932,5,12.688,0.032,13.801,0.025,1.113
143.478681,0.401,-49.907082,0.179,6,12.692,0.031,14.059,0.03,1.367
143.467582,0.252,-50.156437,0.195,6,12.701,0.023,13.186,0.043,0.485
143.492016,0.46,-50.563713,0.597,5,12.717,0.018,13.428,0.04,0.711
143.212323,0.443,-49.880409,0.641,6,12.72,0.036,14.365,0.066,1.645
142.856002,0.289,-50.377807,0.704,5,12.723,0.054,14.272,0.053,1.549
143.512032,0.293,-50.186184,0.289,6,12.725,0.016,13.427,0.05,0.702
143.371519,0.311,-50.03407,0.171,6,12.733,0.021,13.198,0.042,0.465
143.177274,0.424,-50.005524,0.204,6,12.744,0.014,14.236,0.024,1.492
142.589088,0.184,-50.193917,0.243,5,12.745,0.039,14.277,0.04,1.532
143.344644,0.277,-49.980008,0.196,6,12.745,0.012,13.257,0.044,0.512
143.389771,0.333,-50.255955,0.213,6,12.751,0.024,13.373,0.043,0.622
142.225583,0.127,-50.28567,0.786,5,12.752,0.01,13.45,0.043,0.698
142.96901,0.433,-50.540796,0.859,5,12.754,0.05,14.182,0.036,1.428
143.343772,0.332,-50.084635,0.16,6,12.756,0.01,13.383,0.039,0.627
143.082926,0.524,-50.26751,0.505,7,12.771,0.029,13.577,0.056,0.806
143.36088,0.508,-50.453666,0.784,6,12.773,0.023,13.266,0.049,0.493
142.545017,0.211,-50.023287,0.126,5,12.779,0.026,13.462,0.035,0.683
142.967339,0.232,-50.504441,0.796,5,12.779,0.048,14.181,0.019,1.402
142.710294,0.322,-50.168539,0.261,5,12.787,0.038,13.429,0.031,0.642
143.306221,0.27,-49.976176,0.338,5,12.804,0.021,14.884,0.025,2.08
142.621724,0.305,-50.275382,0.649,5,12.805,0.014,13.447,0.045,0.642
143.307173,0.493,-50.453676,0.716,6,12.814,0.038,14.178,0.03,1.364
142.701057,0.269,-50.030608,0.16,5,12.825,0.049,14.371,0.047,1.546
142.767745,0.355,-50.329543,0.628,5,12.827,0.031,13.547,0.027,0.72
142.965802,0.203,-49.965435,0.232,5,12.839,0.043,13.598,0.021,0.759
143.365259,0.36,-50.247689,1.108,4,12.848,0.022,13.3,0.012,0.452
143.348318,0.671,-50.644635,0.647,5,12.853,0.045,14.56,0.045,1.707
143.724304,0.215,-50.206442,0.251,6,12.857,0.015,13.352,0.036,0.495
142.765481,0.232,-50.129401,0.19,5,12.862,0.027,13.544,0.037,0.682
142.57277,0.201,-49.838839,0.301,5,12.863,0.03,13.516,0.039,0.653
142.619776,0.199,-50.565335,0.714,4,12.863,0.023,13.496,0.029,0.633
142.63853,0.217,-50.418413,0.756,5,12.865,0.033,13.612,0.026,0.747
143.221415,0.448,-49.772272,0.355,6,12.87,0.01,13.602,0.043,0.732
